entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
ent_1,CoQuan,QUỐC HỘI,QUỐC HỘI,166170,gemini,0.9,
ent_2,DoiTuongApDung,Tổ chức tín dụng,Tổ chức tín dụng,166170,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
ent_3,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,166170,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
ent_4,DoiTuongApDung,Tổ chức nước ngoài khác có hoạt động ngân hàng,Tổ chức nước ngoài khác có hoạt động ngân hàng,166170,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
ent_5,DoiTuongApDung,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ","Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",166170,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
ent_6,DoiTuongApDung,"Cơ quan, tổ chức, cá nhân có liên quan","Cơ quan, tổ chức, cá nhân có liên quan",166170,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
ent_7,LinhVuc,Tín dụng,Tín dụng,166170,gemini,0.9,
ent_8,LinhVuc,Ngân hàng,Ngân hàng,166170,gemini,0.9,
ent_9,CoQuan,Chính phủ,Chính phủ,112025,gemini,0.9,
ent_10,DoiTuongApDung,Doanh nghiệp bảo hiểm,Doanh nghiệp bảo hiểm,112025,gemini,0.85,"Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm; b) Chi nhánh nước ngoài; c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm; d) Các tổ chức, cá nhân khác có liên quan."
ent_11,DoiTuongApDung,Chi nhánh nước ngoài,Chi nhánh nước ngoài,112025,gemini,0.85,"Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm; b) Chi nhánh nước ngoài; c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm; d) Các tổ chức, cá nhân khác có liên quan."
ent_12,DoiTuongApDung,"Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm","Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm",112025,gemini,0.85,"Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm; b) Chi nhánh nước ngoài; c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm; d) Các tổ chức, cá nhân khác có liên quan."
ent_13,DoiTuongApDung,"Các tổ chức, cá nhân khác có liên quan","Các tổ chức, cá nhân khác có liên quan",112025,gemini,0.85,"Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm; b) Chi nhánh nước ngoài; c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm; d) Các tổ chức, cá nhân khác có liên quan."
ent_14,LinhVuc,Bảo hiểm,Bảo hiểm,112025,gemini,0.9,
ent_15,LinhVuc,Kinh doanh bảo hiểm,Kinh doanh bảo hiểm,112025,gemini,0.9,
ent_16,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,38128,gemini,0.9,
ent_17,CoQuan,Cục Phát hành và Kho quỹ,Cục Phát hành và Kho quỹ,38128,gemini,0.9,
ent_18,CoQuan,Nhà máy in tiền Quốc gia,Nhà máy in tiền Quốc gia,38128,gemini,0.9,
ent_19,NguoiKy,Thống đốc Ngân hàng Nhà nước Việt Nam,Thống đốc Ngân hàng Nhà nước Việt Nam,38128,gemini,0.9,
ent_20,NguoiKy,Thống đốc,Thống đốc,38128,gemini,0.9,
ent_21,NguoiKy,Thủ tướng Chính phủ,Thủ tướng Chính phủ,38128,gemini,0.9,
ent_22,NguoiKy,Cục trưởng Cục Phát hành và Kho quỹ,Cục trưởng Cục Phát hành và Kho quỹ,38128,gemini,0.9,
ent_23,DoiTuongApDung,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.,38128,gemini,0.85,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
ent_24,DoiTuongApDung,Nhà máy in tiền Quốc gia.,Nhà máy in tiền Quốc gia.,38128,gemini,0.85,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
ent_25,DoiTuongApDung,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền.","Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền.",38128,gemini,0.85,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
ent_26,LinhVuc,Phát hành tiền,Phát hành tiền,38128,gemini,0.9,
ent_27,DoiTuongApDung,Kiểm toán viên,kiểm toán viên,26750,gemini,0.85,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
