entity,entity_type,source_doc_id,method,confidence,evidence
QUỐC HỘI,CoQuan,166170,gemini,0.9,
Tổ chức tín dụng,DoiTuongApDung,166170,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,166170,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài,DoiTuongApDung,166170,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
Tổ chức nước ngoài khác có hoạt động ngân hàng,DoiTuongApDung,166170,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",DoiTuongApDung,166170,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
"Cơ quan, tổ chức, cá nhân có liên quan",DoiTuongApDung,166170,gemini,0.85,"1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
Tín dụng,LinhVuc,166170,gemini,0.9,
Ngân hàng,LinhVuc,166170,gemini,0.9,
Chính phủ,CoQuan,112025,gemini,0.9,
Doanh nghiệp bảo hiểm,DoiTuongApDung,112025,gemini,0.85,"Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm; b) Chi nhánh nước ngoài; c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm; d) Các tổ chức, cá nhân khác có liên quan."
Chi nhánh nước ngoài,DoiTuongApDung,112025,gemini,0.85,"Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm; b) Chi nhánh nước ngoài; c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm; d) Các tổ chức, cá nhân khác có liên quan."
"Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm",DoiTuongApDung,112025,gemini,0.85,"Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm; b) Chi nhánh nước ngoài; c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm; d) Các tổ chức, cá nhân khác có liên quan."
"Các tổ chức, cá nhân khác có liên quan",DoiTuongApDung,112025,gemini,0.85,"Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm; b) Chi nhánh nước ngoài; c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm; d) Các tổ chức, cá nhân khác có liên quan."
Bảo hiểm,LinhVuc,112025,gemini,0.9,
Kinh doanh bảo hiểm,LinhVuc,112025,gemini,0.9,
Ngân hàng Nhà nước Việt Nam,CoQuan,38128,gemini,0.9,
Ngân hàng Nhà nước,CoQuan,38128,gemini,0.9,
Chính phủ,CoQuan,38128,gemini,0.9,
Cục Phát hành và Kho quỹ,CoQuan,38128,gemini,0.9,
Nhà máy in tiền Quốc gia,CoQuan,38128,gemini,0.9,
Thống đốc Ngân hàng Nhà nước Việt Nam,NguoiKy,38128,gemini,0.9,
Thống đốc,NguoiKy,38128,gemini,0.9,
Thủ tướng Chính phủ,NguoiKy,38128,gemini,0.9,
